Time,Number of players,Total bets,Multiplier
3.28,12905,1024559.7,1.81
2.13,15900,1182724.77,1.29
1.09,10500,1175077.91,1.52
1.71,13571,1101100.29,2.19
1.34,14169,1153300.89,3.87
6.61,12706,1030896.93,2.76
6.7,15390,1116632.7,1.81
1.25,15268,1054498.03,1.72
2.34,12640,910144.11,1.52
1.22,14683,1091509.41,1.22
2.99,13096,968858.62,7.92
2,15296,1111421.61,1.23
3.48,14472,1060887.08,7.92
1.16,15300,1047941.16,6.1
3.49,13213,865444.86,1.49
1.87,14481,1048805.54,1.04
1.24,14017,1007681.16,1.52
1.13,12618,991369.67,16.85
3.23,11713,921376.65,1.04
2.88,14359,1108849.66,3.01
1.94,13823,942494.81,1.72
1.73,12732,896853.51,1.28
1.24,12627,922213.09,24.11
8.34,11592,887136.55,1.02
3.84,14313,937760.76,3.62
1.48,13260,902412.27,9.25
1.54,11618,802802.58,8.51
11.36,11691,796362.48,2.5
1.31,14513,956699.66,1.89
4.68,12201,930308.51,29.02
3.22,13758,918634.36,3.01
9.62,13595,894477.91,1.04
1.28,13929,913868.51,8.5
1.23,11862,800212.24,6.1
2.55,11925,827660.04,1.15
1.33,14021,1097981.74,2.5
3.6,13103,961245.17,29.02
1.21,15099,1230714.2,8.5
10.34,13315,966036.7,5.29
1.54,14581,991809.33,1.5
1.84,13501,957764.45,1.81
1.04,10500,1050232.19,6.68
2.8,12947,961316.84,1.38
1.03,10500,1179394.65,3.87
1.41,13126,1035857.14,1.6
1.58,12309,1007388.05,1.02
2.48,12717,1084481.08,2.5
1.48,13174,1071959.87,1.38
3.33,11805,972117.69,8.51
3.94,12788,997878.85,1.81
11.79,12687,853509.11,1.28
2,12709,821438.75,1.96
1.43,11816,835289.1,23.38
20.65,10808,695942.19,2.5
1.42,13155,842906.16,29.02
20.87,11470,733286.53,1.49
1.86,12699,847681.77,1.15
1.4,12458,851912.4,1.07
16.52,11833,782325.26,1.9
1.34,13551,918983.68,23.38
28,12303,805541.85,2.7
1.71,13359,896977.83,24.11
1.98,13164,948278.26,24.11
3.24,14137,1072306.71,1.29
1.24,14703,1049734.32,1.04
1.21,13984,1056133.7,1.15
3.8,13217,897148.87,5.29
2.58,15100,1222563.75,1.5
26.09,14339,955823.27,1.29
9.25,14017,947764.04,2.19
3.71,13775,880096.91,8.5
1.05,10500,929792.74,2.5
4.14,11285,743543.62,1.29
2.4,15126,1059576.46,5.42
28.16,14653,920785.09,23.38
1.19,15552,998935.51,2.19
4.69,13237,862973.77,1.81
1.33,15782,1029500.53,1.5
1.04,10500,1088540.52,24.11
15.55,14378,1009763.89,2.76
2.1,16010,1079120,2.19
1.19,15040,568737.61,6.1
1.38,14333,1057838.86,1.9
1.3,14950,1163174.58,2.7
1.05,10500,1140298.43,1
1.15,14296,1194183.55,1.33
3.44,13227,1030900.65,1.96
1.82,15838,1344778.35,1.49
1.1,10500,1226479.51,2.5
1.7,13198,1009427.62,1.52
1.32,13426,1095918.33,6.1
1.63,12172,967048,1.11
4.14,12046,977835.99,23.38
9.61,13594,914020.99,1.28
1.13,13790,890590.18,1.21
12.89,11762,663307.83,7.92
1.01,10500,824354.78,5.21
1,10500,780418.95,7.92
1.16,12575,1001063.52,23.38
6.74,11784,842945.18,1.04
22.19,14097,935352.89,2.17
1.19,13062,917927.07,1.5
16.85,11343,755587.58,1.28
1.86,12996,858396.28,1.28
4.87,12786,852633.33,9.25
2.01,14056,894226.2,2.19
1.28,14069,914836.22,8.5
1.75,12716,853967.78,3.62
3.29,14119,1004130.82,1.9
1.01,10500,1055888.75,2.37
1.37,13767,992897.96,1.11
3.89,13798,1073658.58,16.85
1.16,0,1095389.91,1.89
2.16,13659,1011872.2,3.87
1.97,14261,1188184.58,1.15
4.96,14265,1206620.86,1.28
1.67,14396,1033083.52,2.7
2.25,13801,1007078.1,8.51
1.64,14079,1155997.73,2.19
1.01,10500,1079933.92,6.68
3.38,12851,1019953.16,5.29
15.74,13530,977961.78,1.38
3.18,13230,855050.43,1.17
1.16,12676,899872.68,1.72
7.7,11371,795913.13,3.01
1.87,13539,983474.32,2.7
1.58,13016,965833.87,1.33
2.15,12678,931640.44,8.5
1.04,10500,1129359.59,24.11
4.55,13117,943906.79,1.96
1.26,14387,995689.2,1.07
7.06,12934,922516.94,3.01
1.27,13178,975410.73,3.01
13.07,12658,853179.85,1.21
1.12,10500,885994.6,1.6
1.41,12265,875566.04,29.02
1.17,12667,1016425.47,7.92
2.13,12462,916042.73,1.22
3.42,13885,1148129.9,1.9
1.3,13569,973955.78,2.5
1.13,12628,965445.04,1.22
1.2,11857,924192.61,1.22
4.41,11367,941486.7,2.76
1,10500,1041298.37,2.7
1.44,12152,1066773.37,1.11
15.9,11515,898013.95,2.5
6.27,11946,854684,3.62
1.39,11511,783707.21,29.02
5.88,10026,639964.09,1.52
6.65,11962,805152.2,8.5
1.92,12025,777734.97,24.11
1.65,11190,813766.93,1.23
7.91,11432,793788.02,8.51
1.16,13035,849186.14,5.42
3.4,11557,766343.12,2.17
5.2,13217,876515.79,1.04
1.23,13088,849226.29,1.07
1.3,11911,815823.48,2.19
5.81,12213,770915.86,1.23
2.56,13538,953584.84,8.5
1.38,12947,923984.65,3.87
1.28,12364,904607.19,1.52
1.86,12643,907604.37,3.62
1.99,14050,1149432.5,1.38
1.06,10500,1270304.54,3.62
1.17,12859,1193121.25,1.21
1.04,10500,956015.08,1.15
2.18,11097,1023754.1,8.51
1.04,10500,1200479.37,1.21
1.11,10500,916519.12,1.11
6.88,8915,806199.94,6.68
4.32,10920,864626,16.85
5.19,10858,837145.47,16.85
1.36,10738,715669.86,9.25
1,10500,741259.61,1.23
1.62,10190,836383.82,5.21
1.59,10343,896906.74,2.7
3.83,10340,907752.37,2.76
8.64,11785,804131.68,1.49
1.21,11309,817267.14,5.29
1.44,9611,766289.02,16.85
1.25,9979,796267.33,5.21
2.14,10031,856645.81,2.7
2.04,11750,1059082.94,1.9
7.3,11333,897350.48,1.81
2.28,11667,833317.49,9.25
22.41,10796,693695.11,1.89
1.33,11427,817866.82,1.96
1.05,10500,819894.69,1.29
3.45,9401,767102.22,1.49
1.49,12180,1009096.4,2.37
2.5,11282,947795.04,1.02
1.35,11801,981191.66,1.96
1.25,11289,1003596.65,1.21
1.42,10476,941835.1,5.21
2.9,10573,939598.19,2.19
2.57,11880,1026746.15,2.37
1.1,10500,958300.74,1.89
1.18,9576,807759.79,1.9
2.41,9171,790774.38,3.62
1.63,10921,988699.58,5.42
1.19,10024,903952.53,1.21
1.23,8821,906058.55,23.38
1,10500,882244.08,2.19
3.84,8915,960455.27,1.29
2.04,9848,962839.64,2.7
1.28,9228,854764.99,1.22
3.59,7792,703975.44,1.96
1.67,9365,895049.43,5.42
28.19,8653,722848.08,5.29
3.58,9541,739472.07,1.72
2.17,9053,785457.63,29.02
1.3,8582,649737.3,7.92
2.13,7793,666399.13,1.29
1.16,9668,873491.32,2.19
5.47,8769,756605.94,6.1
20.12,10397,746268.68,1.11
7.6,9793,677649.92,6.68
2.19,9977,820318.38,1.23
6.14,8541,580935.38,1.29
2.93,10231,693274.46,2.76
1.52,10489,843707.99,19.47
3.6,9309,722550.63,1.9
1.1,10500,894117.09,1.07
2.7,10116,886979.96,6.68
2.87,11656,941729.63,1.11
1.08,10500,973088.71,8.51
3.91,10814,864173.68,1.5
1.13,12034,915559.21,1.02
3.02,11243,852459.38,6.68
1.86,11610,927087.09,1.11
1.51,11511,1020701.31,1.6
1.16,10877,987750.92,3.87
1.33,10217,933309.84,1.21
3.56,9843,921276.95,3.87
2.56,11544,238268.77,1.15
1.3,11098,914090.24,1.72
6.32,9735,819521.69,6.68
3.93,11247,831923.3,2.76
20.88,10830,645158.22,2.5
3.54,10960,756341.59,3.87
1.2,10214,729782.42,2.37
7.42,8729,576164.29,1.17
1.58,11385,774122.31,1.38
3.52,10645,797416.41,1
1.93,11363,808197.54,29.02
1.41,11607,829819.76,29.02
1.41,10333,792279.99,1.49
4.02,10841,873410.3,3.87
3.42,12600,995211.96,2.37
2,12142,934872,1.38
5.48,11270,837786.74,1.17
1.03,10500,840829.11,2.37
1.6,10927,823359.58,2.19
4.96,11287,842821.77,2.37
6.14,12811,848532.71,1
2.04,12315,883500.33,1.29
1.31,11310,857488.13,2.17
1.03,10500,786047.17,6.1
1.15,11339,924694.94,1.9
2.2,10692,925538.85,2.7
