Time,Number of players,Total bets,Multiplier
4.7,6259,493643.26,1.28
8.75,6335,414142.72,1
2.37,6295,468169.85,5.42
1.19,0,510639.9,5.21
3.38,5104,413355.58,1.21
1.35,6729,556362.5,1.38
22.04,6194,472095.53,6.1
1.02,10500,488999.93,1.38
10.44,5908,482191.91,1.17
1.03,10500,502906.86,1.9
27.61,6303,503195.62,1.22
1.17,6213,488024.94,1.89
1,10500,527464.45,1.22
3.01,6339,529448.89,5.42
29.97,7153,606771.15,1.33
4.27,6308,500149.77,8.51
28.69,6401,501702.57,5.29
1.2,6533,537307.85,1.02
1,10500,492519.11,1.23
20.45,6254,490729.38,16.85
1.87,7382,660430.58,2.5
23.86,6848,514825.32,1.52
1.55,6858,634447.39,1.21
1.38,6971,639186.92,24.11
2.89,6861,587644.66,3.01
31.45,8210,671451.24,1.81
1.05,10500,592445.56,1
4.77,6659,536259.83,5.42
11.87,8065,633810.41,1.33
1.88,7604,680402,1.28
1.08,10500,632014.72,2.17
1.12,10500,722761.7,1.5
1.67,7053,657188.23,3.87
1.5,7586,755052.89,5.42
2.73,7275,769220.29,1.72
1.08,10500,950642.18,9.25
7.11,7405,638636.6,2.5
1.67,8016,705041.07,1.23
1.75,7499,698391.66,6.68
2.53,7230,693513.88,24.11
32.26,7945,706479.14,1.49
1.1,10500,555079.5,2.37
3.28,6052,554904.03,2.37
20.27,8059,633004.97,1.49
2.75,7267,589304.36,23.38
10.92,6986,549184.9,1.6
1.05,10500,626877.32,5.29
1.1,10500,569646.04,1.89
1.59,6470,565474.6,1.28
1.3,7451,786379.83,3.87
3.44,7076,707826.32,1.17
5.43,8646,778482.18,8.5
1.88,8300,772989.25,23.38
1.51,7533,709444.89,3.62
3.67,7094,669975.3,2.5
1.05,10500,829999.21,7.92
2.16,7393,720426.97,1.21
1.35,8170,894932.92,1.81
5.22,7317,851066.2,1.04
1.14,0,837441.29,8.51
6.99,6998,698200.36,3.87
1.64,7413,739754.88,1.21
3.62,7261,651195.74,1.29
10.97,7605,662350.18,2.5
1.01,10500,617902.89,1.07
17.4,6738,493268.73,1.23
1.88,7124,642086.51,6.68
1.69,7051,603740.95,2.7
1.11,10500,670091.2,1.22
2.54,6990,658547.16,1.81
2.14,8229,876456.86,9.25
1.31,7911,811288.85,2.37
2.89,7140,697122.82,1.9
1.36,7992,820908.44,2.7
1.51,7246,689039.61,9.25
1.58,6887,728824.36,23.38
8.11,6677,560010.13,16.85
1.73,7532,693831.45,1.15
2.16,6963,701643.99,3.62
33.43,7123,580287.27,19.47
3.34,6651,563876.41,24.11
6.2,6682,555536.82,1.23
1.03,10500,619655.16,1.15
11.1,6016,474413.76,16.85
1.14,7238,621587.43,19.47
9.9,6753,525874.19,1.81
12.07,7107,549656.79,29.02
2.44,7124,629723.45,2.37
7.51,6790,516523.5,1.21
5.42,7679,616023.74,6.1
1.04,10500,733976.94,2.7
2.68,7050,676897.75,6.1
2.08,8289,800269.58,6.1
1.55,8087,782334.43,1.22
1.4,7366,725413.33,1.9
2.39,6963,711699.03,29.02
1,10500,847845.31,1.11
2.23,8008,868841.25,2.76
1.45,8075,927067.59,1.9
28.89,7114,634337.13,1.15
3.17,7760,714000.05,1.23
6.7,7484,641817.15,5.21
1.14,0,651561.93,1.89
1.16,6775,627754.89,5.42
1.12,10500,633175.36,3.62
1.01,10500,581708.94,1.04
8.25,6818,644990.64,2.17
3.82,8112,663697.98,2.17
7.36,7869,659340.55,1.29
1.04,10500,694389.79,1.9
1.32,6562,634888.21,1.07
2.01,6386,631392.41,2.5
1.45,7874,815117.44,1.02
1.5,7454,800915.17,5.21
1.7,7103,821311.21,24.11
6.53,7257,806076.08,1.11
1.74,8262,771226.69,1.04
1.04,10500,786613.52,1.81
1.2,6740,671840.05,1.17
2.25,6166,703604.9,1.49
21.12,7504,674486.18,16.85
2.22,7543,760160.71,5.42
14.56,6981,620383.47,1.02
2.58,6979,617364.31,7.92
32.82,6967,518248.55,1.6
7.27,6999,556357.21,1.5
1.55,7173,623401.81,2.17
3.73,5909,512643.19,1.11
1.67,7624,703951.72,6.1
1.22,7106,654857.13,1.07
1.61,6280,641920.42,1.38
1.71,6763,668422.19,1.02
1.35,7285,765207.94,23.38
7.72,6849,685910.34,2.5
1.03,10500,734512.48,1.6
10.02,7562,661809.81,2.17
3.6,8034,726918.24,3.87
1.13,7812,675238.01,1.11
3.94,6767,511726.55,1.38
1.36,8232,741838.21,8.5
3.2,7570,749574.45,9.25
3.58,8207,820860.23,5.42
14.81,8275,655652.45,23.38
19.45,8021,613938.7,8.5
1.06,10500,640732.98,1.02
2.44,6164,539107.59,3.01
2.24,7684,676435.42,5.42
1.42,8026,774068.09,7.92
1.18,7207,693344.24,1.81
1.6,6794,651542.57,1.89
1.01,10500,807993.18,1.6
3.06,7612,757322.72,7.92
2.55,8664,872920.64,1.38
1.11,10500,805437.6,1.72
2.26,7250,643665.6,1.89
1.23,7887,812696.2,3.01
1.54,6919,672049.36,2.19
1.8,6636,745718.65,6.68
1.7,6790,762896.22,2.5
2.39,6385,695255.65,1.96
7.97,7084,712846.95,1.38
1.77,7633,681237.77,2.37
2.12,6966,684206.42,2.5
1,10500,723458.82,3.62
2.13,6959,722445.61,1.49
1.72,6982,757896.98,3.62
1.75,6436,731171.93,1.11
1.36,6187,681039.8,3.87
1.79,5543,628459.84,2.17
1.39,5746,649344.25,1.22
4.54,5056,581916.1,1.02
20.31,6545,572053.41,1.89
1.05,10500,543083.29,5.42
3.51,5566,525459.32,2.37
1.74,6403,610452.99,7.92
5.62,5825,539589.43,8.51
6.08,6476,537567.15,1.04
1.11,10500,515408.55,9.25
2.75,5551,531393.49,1.52
3.62,6638,689077.73,3.87
1.12,10500,654547.41,7.92
1.51,6145,576383.12,1
1.46,6033,587754.12,1.23
5.49,5775,594594.92,2.5
3.57,7260,665957.48,1.72
2.34,6844,607887.09,6.68
2.12,6412,570081.96,1.17
13.56,6390,459242.85,1.49
2.09,6985,544347.05,19.47
1.59,5651,513217.48,3.01
2.54,5943,569713.27,2.37
4.01,7210,633321.34,24.11
1.39,7359,643024.67,5.29
1.69,6370,553041.2,1.49
2.58,6412,627034.24,2.7
9.43,7374,617974.61,2.17
2.39,7199,507255.48,1.33
3.84,6626,482428.43,1.29
3.48,7151,574976.98,2.17
5.88,7281,554472.54,8.5
2.35,7499,593839.42,8.51
1.06,10500,588600.7,2.37
1.02,10500,509558.93,1.17
2.92,5778,566299.07,2.5
1.24,7768,731911.93,6.68
33.84,6681,562365.82,1.6
1.13,7446,645219.45,29.02
6.72,6393,509673.86,1.02
7.89,7335,585817.79,1.07
1.04,10500,551940.26,5.29
6.62,6328,458895.75,2.5
5.53,7634,635192.72,1.89
1,10500,656826.59,1.11
2.67,7071,631268.08,1.29
2.56,7843,766989.58,2.5
3.44,7930,711387.54,1.04
2.57,7916,695404.59,1.21
2.12,7988,717063.37,19.47
2.22,7710,721412.78,1.29
2.67,7938,736405.96,1.49
1.21,8201,785808.45,2.7
9.44,6962,589661.04,1.29
2.28,8306,757972.16,1.28
3.14,7935,704842.51,2.17
1.23,8143,726000.53,1.38
1.3,7355,652714.57,6.68
1.3,6676,720694.93,1.52
1.37,6519,747084.4,1.49
1.76,6412,739790.57,2.19
1.74,6933,795014.74,1.81
7.58,6817,668314.62,1.6
2.76,8063,718665.61,1.52
4.95,7659,688341.31,5.21
1.04,10500,656163.79,1.6
4.14,6581,549137.31,2.5
1.77,7849,703361.24,1
1.14,7369,753070.51,1.04
2.33,6354,691375.76,5.42
1.86,7700,794075.29,1.02
1.02,10500,303894.78,3.62
2.95,6662,726221.09,1.15
1.17,7600,801404.63,8.51
1.42,6388,667019.91,3.87
4.6,5818,615964.14,1.52
1.15,0,684974.18,9.25
27.47,5928,521787.98,3.62
2.04,6394,519442.88,5.29
1.58,6053,525827.42,1.11
7.2,5543,484764.2,1.15
1.97,6614,589582.19,5.21
3.27,6237,595510.29,2.76
1.02,10500,654776.01,2.5
1.24,6263,605803.57,9.25
1.17,5674,659330.46,8.51
1.08,10500,592145.3,2.5
4.14,4939,576514.31,9.25
1.04,10500,661375.64,1.15
1.82,5796,638637.13,3.62
2.87,5666,636280.72,1.11
